06/12/08 - Rumors - 404 N Harrison St - Richmond, VA

07/05/08 - Maxwells - 1039 Washington St - Hoboken, NJ

07/27/08 - Junkyard Palace - Somerset St - New Brunswick, NJ

07/29/08 - Courtlandt Land - Courtlandt St - New Brunswick, NJ

08/05/08 - Used Kids Records - 1980 N High St - Columbus, OH

08/05/08 - Punk Porch - Olentangy and 5th - Columbus, OH

08/06/08 - The State House - E Wiley St - Bloomington, IN

08/08/08 - The Beat Kitchen (Mauled By Tigers Fest) - 2100 W Belmont - Chicago, IL

08/11/08 - Mr Roboto Project - 722 Wood St - Wilkinsburg, PA

08/15/08 - The Parlor - Hamilton St - New Brunswick, NJ

08/19/08 - The Tank - 87 Lafayette St - Manhattan, NY

08/22/08 - Court Tavern - 124 Church St - New Brunswick, NJ

08/30/08 - 1619 House - 1619 Herbert Blvd - Williamstown, NJ

09/06/08 - People's Center - 37 Howe St - New Haven, CT

09/16/08 - MeatTown USA - Hamilton St - New Brunswick, NJ

09/25/08 - Asbury Lanes - 209 4th Ave - Asbury Park, NJ

09/26/08 - The Fort - 1414 Lincoln Pl - Brooklyn, NY

09/27/08 - Silent Barn - 915 Wyckoff Ave - Queens, NY

09/28/08 - Westcott Community Center - 826 Euclid Ave - Syracuse, NY

09/30/08 - Legion of Doom - 1579 Indianola Ave - Columbus, OH

10/01/08 - Moria - Broadway - Indianapolis, IN

10/02/08 - The End - 2219 Elliston Pl - Nashville, TN

10/03/08 - Booby's - 406 S Illinois Ave - Carbondale, IL

10/04/08 - Ducks in a Stack - S. Washington St - Bloomington, IN

10/05/08 - Elbow Room - 6 S Washington St - Ypsilanti, MI

10/06/08 - Ronny's - 2103 N California Ave - Chicago, IL

10/07/08 - Mad Maggie's - 51 S Grove Ave - Elgin, IL

10/08/08 - Ground Zero - N Richards St - Milwaukee, WI

10/09/08 - Castle Greyskull - Elliot Ave - Minneapolis, MN

10/11/08 - Haunted Kitchen - Louisiana - Lawrence, KS

10/13/08 - Surfside 7 - 150 N College Ave - Fort Collins, Co

10/14/08 - Gusto Bar - 519 W Main - Boise, ID

10/15/08 - Friendship City - E Maple St - Bellingham, WA

10/16/08 - 24/7 House - E. Union St - Seattle, WA

10/17/08 - Old School Pizzeria - 108 Franklin St NE - Olympia, WA

10/20/08 - Apgar House - Apgar St - Oakland, CA

10/21/08 - Harold's - 1908 S Pacific Ave - San Pedro, CA

10/22/08 - Radio Room - 3519 El Cajon Blvd - San Diego, CA

10/23/08 - Beauty Bar - 517 Fremont St - Las Vegas, NV

10/24/08 - Trunk Space - 1506 NW Grand Ave - Phoenix, AZ

10/27/08 - Emo's - 603 Red River St - Austin, TX

10/28/08 - The Mink - 3718 Main St - Houston, TX

